EmployeeID,EmployeeName,Positions,Department,HireDate,Phone,CustomerID,MetricID
62,Jennifer Mercer,Manager,Inventory,2023-04-17,904.929.4854,251,419
63,Laura Lowe,Manager,Sales,2017-08-16,+1-581-788-6871x84407,10,350
64,Cory Anderson,Assistant,Finance,2024-02-26,481-435-3198x347,233,472
65,Christina Gardner,Assistant,Inventory,2019-06-14,286-549-3376,387,354
66,Kenneth Stewart,Salesperson,Finance,2022-12-21,(552)966-1609x0819,471,25
67,Alexander Thomas,Assistant,Sales,2018-09-22,(978)729-1073,379,265
68,Catherine Davis,Manager,HR,2020-04-09,(236)795-3938x368,376,143
69,Megan Bartlett,Manager,Sales,2016-07-30,930-746-4513x7872,166,386
70,John Cortez,Assistant,Inventory,2022-09-20,+1-311-634-9834x82242,104,168
71,Kelly Delgado,Manager,HR,2018-08-27,655-761-4119x1593,80,491
72,Melissa Dudley,Salesperson,Inventory,2018-05-29,(290)258-2685x6607,44,164
73,Tammy Watkins,Salesperson,HR,2019-12-17,534.566.7501x74580,218,17
74,James Anderson,Clerk,HR,2014-05-17,001-433-215-0390,298,175
75,Joyce Ramos,Salesperson,Inventory,2022-03-03,+1-233-725-5570x16679,362,438
76,Jill Kim,Manager,Sales,2016-04-23,321-840-4442,366,69
77,Anthony Nicholson,Assistant,HR,2016-07-23,(579)715-1252x86213,437,221
78,William Day DVM,Assistant,Inventory,2016-10-19,001-840-467-1009,203,238
79,Collin White,Clerk,HR,2016-04-25,001-932-842-9542,357,360
80,Steven Davis,Clerk,Sales,2020-12-01,644-937-8529x010,73,305
81,Mr. Michael Robbins,Assistant,HR,2017-06-22,001-805-829-3685x271,1,17
82,Robin Hall,Salesperson,HR,2018-12-07,(494)312-8784,333,45
83,Thomas Hayes,Assistant,Finance,2020-06-30,932-512-2767,353,440
84,Alan White,Clerk,HR,2018-07-05,001-698-439-7859x89981,58,253
85,Andrea Smith,Clerk,Finance,2022-11-18,+1-467-279-1887x0577,225,19
86,Carmen Scott,Clerk,Inventory,2021-07-23,286.682.8137,64,49
87,Briana Carlson,Clerk,HR,2021-06-12,+1-623-214-8483,425,223
88,Anthony Hays,Clerk,Inventory,2018-08-05,315.704.6015,308,139
89,Justin Barnes,Clerk,HR,2016-05-18,692-750-9516x981,42,472
90,Kristin Ferguson,Clerk,Sales,2023-04-05,427.827.8332,424,119
91,Tracy Thompson,Clerk,Sales,2021-02-05,001-398-500-3640x067,161,17
92,Jonathan Rubio,Salesperson,Inventory,2021-06-05,849.969.5283,271,371
93,Mrs. Sharon Allen,Assistant,Finance,2016-04-10,(678)787-8950x66395,177,236
94,Laura Petersen,Salesperson,Sales,2017-11-22,001-746-974-5207,11,341
95,Ryan Johnson,Assistant,Inventory,2019-01-08,(466)774-6182x789,459,410
96,Dennis Flowers,Clerk,HR,2020-05-04,615-539-5672x917,212,257
97,Renee Hernandez MD,Salesperson,HR,2016-03-24,001-310-689-5096x79600,47,345
98,Patrick Matthews,Manager,Sales,2015-06-14,+1-507-230-1761x003,36,346
99,Anthony Bell,Salesperson,Inventory,2019-11-09,(938)724-8734x9954,180,27
100,Kevin Castillo,Clerk,Sales,2016-12-31,001-303-959-4917x827,101,204
